Licensee,Address,City,State,Zip, Medical Sales , Adult-Use Sales , Total Sales 
SCORE 420 - APPALOOSA - RETAIL,1925 Appaloosa Dr,Sunland Park,NM,88063, $ 221.61 ," $ 1,384.71 "," $ 1,606.32 "
SCORE 420 - MCNUTT RETAIL,2355 McNutt Road,Sunland Park,NM,88063," $ 2,177.97 "," $ 24,786.89 "," $ 26,964.86 "
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,100 Arch Angel Way,Chaparral,NM,88081," $ 2,321.49 "," $ 221,972.06 "," $ 224,293.55 "
STATELINE CANNABIS NM LLC- STEPHANIE RETAIL,101 Stephanie,Chaparral,NM,88081," $ 2,216.51 "," $ 47,087.75 "," $ 49,304.26 "
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,1051 McNutt Rd,Sunland Park,NM,88063," $ 47,506.34 "," $ 1,162,252.82 "," $ 1,209,759.16 "
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,267 Anapra Rd,Sunland Park,NM,88063, $ 617.07 ," $ 4,137.59 "," $ 4,754.67 "
TOKE IT UP DISPENSARY AND LOUNGE LLC- FUTURITY DRIVE RETAIL,1999 Futurity Drive,Sunland Park,NM,88063," $ 1,841.83 "," $ 16,423.95 "," $ 18,265.78 "
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,401 Anthony Dr Ste B,Anthony,NM,88021," $ 11,420.46 "," $ 50,845.75 "," $ 62,266.21 "
URBAN WELLNESS - APPALOOSA DR RETAILER,1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063," $ 5,603.37 "," $ 89,678.30 "," $ 95,281.67 "
VIREO HEALTH OF LC - APPALOOSA - RETAILER,"1580 Appaloosa Dr., Suite 320",Sunland Park,NM,88063," $ 2,334.14 "," $ 59,254.83 "," $ 61,588.97 "
VIREO OF SANTA FE - APPALOOSA - RETAIL,"1541 Appaloosa Dr., Unit 2",Sunland Park,NM,88063," $ 3,734.56 "," $ 73,281.00 "," $ 77,015.56 "
,,,,," $ 293,105.66 "," $ 6,592,826.65 "," $ 6,885,932.32 "
