Name, Total Sales , Adult-Use Sales , Medical Sales ,Address,City,State,Zip,Month,Year,
HOUSE OF FLOWERS NM LLC - MAGEE DR RETAIL,"$3,895.04","$3,838.77",$56.27,101 Magee Dr.,Chaparral,NM,88081,January,2025,
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$1,414.98","$1,199.43",$215.55,267 Anapra Rd,Sunland Park,NM,88063,January,2025,
Name, Total Sales , Adult-Use Sales , Medical Sales ,Address,City,State,Zip,,,
"CHADCOR HOLDINGS NM, LLC","$1,200,305.54","$1,152,292.87","$48,012.67",1615 Appaloosa Dr,Sunland Park,NM,88063,February,2025,
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$974,490.86","$969,002.25","$5,488.61",159 Sunland Park Dr,Sunland Park,NM,88063,February,2025,
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$669,899.21","$623,813.17","$46,086.04",1500 Appaloosa St Suite B,Sunland Park,NM,88063,February,2025,
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$543,605.10","$522,791.84","$20,813.26",1051 McNutt Rd,Sunland Park,NM,88063,February,2025,
"GREEN THERAPY DISPENSARY, LLC","$323,506.08","$302,648.05","$20,858.03","460 County Line Drive, Space F",Chaparral,NM,88081,February,2025,
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$212,917.46","$197,902.31","$15,015.15",308 McCombs Rd Spc 2,Chaparral,NM,88081,February,2025,
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$168,776.47","$166,919.33","$1,857.14",100 Arch Angel Way,Chaparral,NM,88081,February,2025,
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$143,847.59","$136,774.59","$7,073.00",1925 Appaloosa Dr,Sunland Park,NM,88063,February,2025,
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$122,195.38","$115,974.59","$6,220.79","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,February,2025,
"NEBRO, LLC","$101,355.82","$96,559.56","$4,796.26",1999 Futurity Drive Unit A,Sunland Park,NM,88063,February,2025,
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$96,530.20","$94,082.15","$2,448.05",1541 Appaloosa Unit 7,Sunland Park,NM,88063,February,2025,
PROHIBITION 37 - MCNUTT RD RETAIL,"$91,725.75","$80,962.38","$10,763.37",871 McNutt Rd,Sunland Park,NM,88063,February,2025,
"RMC NM, INC - ANTHONY RETAIL","$87,697.16","$75,285.00","$12,412.16",138 Anthony Dr,Anthony,NM,88021,February,2025,
EVEREST APOTHECARY,"$79,095.07","$75,307.94","$3,787.13",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,February,2025,
ANIMACANN INC - APPALOOSA DR RETAIL,"$77,116.91","$75,063.55","$2,053.36",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,February,2025,
BESOS LLC/ RETAIL FUTURITY DR,"$65,807.98","$64,391.98","$1,416.00",1805 Futurity Dr,Sunland Park,NM,88603,February,2025,
MEDD LLC - PALOMA BLANCA RETAIL,"$60,283.75","$55,745.36","$4,538.39",170 McCombs,Chaparral,NM,88081,February,2025,
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$54,427.02","$52,266.20","$2,160.82",1042 State Line,Chapparal,NM,88081,February,2025,
SCORE 420 - MCNUTT RETAIL,"$52,317.19","$48,044.95","$4,272.24",2355 McNutt Road,Sunland Park,NM,88063,February,2025,
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$50,555.76","$41,934.30","$8,621.46",1155 McNutt Road,Sunland Park,NM,88063,February,2025,
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$46,849.07","$40,766.01","$6,083.06",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,February,2025,
HHNM CHAPARRAL 1 COMPANY- S. COUNTY LINE RETAIL,"$43,065.37","$35,862.57","$7,202.80",545 S. County Line,Chaparral,NM,88081,February,2025,
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$40,197.46","$37,531.63","$2,665.83",5620 McNutt Rd,Santa Teresa,NM,88008,February,2025,
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL,"$36,615.93","$33,841.93","$2,774.00",1290 McNutt Rd,Sunland Park,NM,88063,February,2025,
FLORA VERDE LLC - MAGUEY CT RETAIL,"$35,880.78","$33,843.22","$2,037.56",100 Maguey Ct,Sunland Park,NM,88063,February,2025,
OBI WAN CANNABIS LLC,"$32,243.53","$31,153.26","$1,090.27",2167 McNutt Rd suite A,Sunland Park,NM,88063,February,2025,
FRESHIES LLC/ RETAIL MCNUTT RD,"$31,370.94","$26,840.59","$4,530.35",5325 McNutt Rd,Santa Teresa,NM,88008,February,2025,
TEN 10 PROJECT LLC- APPOLOOSA DR RETAIL,"$31,112.95","$30,908.77",$204.18,1925 Appoloosa Dr,Sunland Park,NM,88063,February,2025,
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$30,653.96","$24,244.13","$6,409.83",401 Anthony Dr Ste B,Anthony,NM,88021,February,2025,
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$29,550.40","$27,860.76","$1,689.64",1600 E OHara Rd,Anthony,NM,88021,February,2025,
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$29,219.34","$27,614.94","$1,604.40",1245 Riley Way,Chaparral,NM,88081,February,2025,
J AND J LOAN COMPANY- MCNUTT RETAIL,"$27,446.83","$27,446.83",,1144 McNutt,Sunland Park,NM,88063,February,2025,
GARDEN OF DREAMS CANNABIS LLC,"$27,087.41","$24,835.18","$2,252.23",5300 Mcnutt Rd,Santa Teresa,NM,88008,February,2025,
NUVES LLC - RANCH ROAD RETAIL,"$26,363.61","$25,703.05",$660.56,101 Maguey Suite 4,Sunland Park,NM,88063,February,2025,
RH AND MC LLC - MILLER ST RETAIL,"$24,828.65","$20,828.86","$3,999.79",103 Miller St,Anthony,NM,88021,February,2025,
THE GREEN MATRIX - S HIGHWAY 28 RETAIL,"$23,078.66","$21,389.66","$1,689.00",3100 S Highway 28,Anthony,NM,88021,February,2025,
ST CANAPA LLC - MCNUTT RD RETAIL,"$21,005.40","$20,184.84",$820.56,5305 McNutt Rd,Santa Teresa,NM,88008,February,2025,
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$19,419.85","$19,352.27",$67.58,245 Derby Rd,Sunland Park,NM,88063,February,2025,
SEVEN NINE GROW LLC - EL PASEO DR RETAIL,"$18,383.56","$16,792.64","$1,590.92",305 S County Line Rd,Chaparral,NM,88081,February,2025,
TOP OF THE 8TH LLC - RETAIL,"$17,334.86","$13,643.11","$3,691.75",1275 Anthony Dr Ste C7,Anthony,NM,88021,February,2025,
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$14,767.14","$14,557.45",$209.69,1845 McNutt Rd,Sunland Park,NM,88063,February,2025,
CARDIEL BOTANICA LTD CO - MCNUTT RD RETAIL,"$10,684.35","$9,364.39","$1,319.96",1685 McNutt,Sunland Park,NM,88063,February,2025,
HHNM SUNLAND PARK 1 COMPANY- MCNUTT RD. STE. D RETAIL,"$10,313.80","$9,025.96","$1,287.84",1290 McNutt Rd. Ste. D,Sunland Park,NM,88063,February,2025,
ERB HOLDINGS/ RETAIL OHARA ROAD,"$10,224.50","$9,086.79","$1,137.71",1400 E Ohara Road,Anthony,NM,88021,February,2025,
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$10,014.14","$9,703.34",$310.80,101 Angelina Blvd,Chaparral,NM,88081,February,2025,
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$9,722.91","$7,954.44","$1,768.47",140 Schneberger Dr,Chaparral,NM,88081,February,2025,
GREENGO NM - ANTHONY DR RETAIL,"$9,354.94","$6,906.83","$2,448.11",816 Anthony Dr,Anthony,NM,88021,February,2025,
YERBAVIVA LLC/ RETAIL MCNUTT STE D,"$6,029.60","$5,695.52",$334.08,2327 McNutt Ste D,Sunland Park,NM,88063,February,2025,
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$1,300.05","$1,270.48",$29.57,267 Anapra Rd,Sunland Park,NM,88063,February,2025,
Name, Total Sales , Medical Sales ,Adult-Use Sales,Address,City,State,Zip,Month,,
ANIMACANN INC - APPALOOSA DR RETAIL,"$100,865.23","$4,015.09","$96,850.14",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,March,2025,
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,"$6,802.44","$2,258.88","$4,543.56",1769 Victory Ln,Sunland Park,NM,88063,March,2025,
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$215,590.08","$12,182.31","$203,407.77",308 McCombs Rd Spc 2,Chaparral,NM,88081,March,2025,
BESOS LLC/ RETAIL FUTURITY DR,"$71,422.24","$2,193.57","$69,228.67",1805 Futurity Dr,Sunland Park,NM,88603,March,2025,
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$740,753.04","$50,585.65","$690,167.39",1500 Appaloosa St Suite B,Sunland Park,NM,88063,March,2025,
CARDIEL BOTANICA LTD CO - MCNUTT RD RETAIL,"$8,270.31",$715.85,"$7,554.46",1685 McNutt,Sunland Park,NM,88063,March,2025,
"CHADCOR HOLDINGS NM, LLC","$1,232,353.99","$44,275.33","$1,188,078.66",1615 Appaloosa Dr,Sunland Park,NM,88063,March,2025,
CHADCOR HOLDINGS NM- RETAIL,"$65,140.71","$8,090.31","$57,050.40", 1621 Appaloosa Dr,Sunland Park,NM,88063,March,2025,
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL,"$42,040.09","$3,827.50","$38,212.59",1290 McNutt Rd,Sunland Park,NM,88063,March,2025,
ERB HOLDINGS/ RETAIL OHARA ROAD,"$11,984.47",$840.54,"$11,143.93",1400 E Ohara Road,Anthony,NM,88021,March,2025,
EVEREST APOTHECARY,"$79,808.39","$2,500.77","$77,307.62",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,March,2025,
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,070,653.72","$9,715.09","$1,060,938.63",159 Sunland Park Dr,Sunland Park,NM,88063,March,2025,
FLORA VERDE LLC - MAGUEY CT RETAIL,"$26,366.44","$1,721.39","$24,645.05",100 Maguey Ct,Sunland Park,NM,88063,March,2025,
FRESHIES LLC/ RETAIL MCNUTT RD,"$41,499.75","$5,748.56","$35,751.19",5325 McNutt Rd,Santa Teresa,NM,88008,March,2025,
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$29,248.32","$1,496.78","$27,751.54",1245 Riley Way,Chaparral,NM,88081,March,2025,
GARDEN OF DREAMS CANNABIS LLC,"$29,478.45","$2,750.18","$26,728.27",5300 Mcnutt Rd,Santa Teresa,NM,88008,March,2025,
GREENGO NM - ANTHONY DR RETAIL,"$3,122.33","$1,190.42","$1,931.91",816 Anthony Dr,Anthony,NM,88021,March,2025,
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$28,369.77",$172.33,"$28,197.44",245 Derby Rd,Sunland Park,NM,88063,March,2025,
"GREEN THERAPY DISPENSARY, LLC","$367,631.50","$25,235.02","$342,396.48","460 County Line Drive, Space F",Chaparral,NM,88081,March,2025,
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$9,617.69","$1,198.41","$8,419.28",140 Schneberger Dr,Chaparral,NM,88081,March,2025,
HHNM CHAPARRAL 1 COMPANY- S. COUNTY LINE RETAIL,"$12,213.28","$1,581.93","$10,631.35",545 S. County Line,Chaparral,NM,88081,March,2025,
HHNM SUNLAND PARK 1 COMPANY- MCNUTT RD. STE. D RETAIL,"$13,713.20","$2,157.54","$11,555.66",1290 McNutt Rd. Ste. D,Sunland Park,NM,88063,March,2025,
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$53,248.66","$4,371.06","$48,877.60",5620 McNutt Rd,Santa Teresa,NM,88008,March,2025,
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$64,163.76","$2,327.00","$61,836.76",1042 State Line,Chapparal,NM,88081,March,2025,
J AND J LOAN COMPANY- MCNUTT RETAIL,"$31,934.05",,"$31,934.05",1144 McNutt,Sunland Park,NM,88063,March,2025,
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$25,044.88","$1,203.39","$23,841.49",1600 E OHara Rd,Anthony,NM,88021,March,2025,
MEDD LLC - PALOMA BLANCA RETAIL,"$77,515.61","$6,827.74","$70,687.87",170 McCombs,Chaparral,NM,88081,March,2025,
"NEBRO, LLC","$112,191.00","$4,531.50","$107,659.50",1999 Futurity Drive Unit A,Sunland Park,NM,88063,March,2025,
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$16,706.54",$245.51,"$16,461.03",1845 McNutt Rd,Sunland Park,NM,88063,March,2025,
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$46,998.28","$9,363.46","$37,634.82",1155 McNutt Road,Sunland Park,NM,88063,March,2025,
NUVES LLC - RANCH ROAD RETAIL,"$28,597.97",$683.76,"$27,914.21",101 Maguey Suite 4,Sunland Park,NM,88063,March,2025,
OBI WAN CANNABIS LLC,"$29,996.61",$633.62,"$29,362.99",2167 McNutt Rd suite A,Sunland Park,NM,88063,March,2025,
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$120,704.53","$1,917.10","$118,787.43",1541 Appaloosa Unit 7,Sunland Park,NM,88063,March,2025,
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$151,062.54","$7,514.00","$143,548.54",1925 Appaloosa Dr,Sunland Park,NM,88063,March,2025,
PROHIBITION 37 - MCNUTT RD RETAIL,"$97,429.99","$10,737.54","$86,692.45",871 McNutt Rd,Sunland Park,NM,88063,March,2025,
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$134,501.64","$7,359.08","$127,142.56","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,March,2025,
RH AND MC LLC - MILLER ST RETAIL,"$26,550.41","$5,381.55","$21,168.86",103 Miller St,Anthony,NM,88021,March,2025,
"RMC NM, INC - ANTHONY RETAIL","$93,653.39","$12,416.90","$81,236.49",138 Anthony Dr,Anthony,NM,88021,March,2025,
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$19,899.22","$2,322.01","$17,577.21",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,March,2025,
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$12,666.88",$659.57,"$12,007.31",101 Angelina Blvd,Chaparral,NM,88081,March,2025,
SCORE 420 - MCNUTT RETAIL,"$57,126.43","$6,389.53","$50,736.90",2355 McNutt Road,Sunland Park,NM,88063,March,2025,
SEVEN NINE GROW LLC - EL PASEO DR RETAIL,"$14,004.73","$1,578.21","$12,426.52",305 S County Line Rd,Chaparral,NM,88081,March,2025,
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$203,154.77","$2,904.93","$200,249.84",100 Arch Angel Way,Chaparral,NM,88081,March,2025,
ST CANAPA LLC - MCNUTT RD RETAIL,"$25,836.41",$504.21,"$25,332.20",5305 McNutt Rd,Santa Teresa,NM,88008,March,2025,
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$669,481.23","$28,675.70","$640,805.53",1051 McNutt Rd,Sunland Park,NM,88063,March,2025,
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$3,024.51",$265.46,"$2,759.05",267 Anapra Rd,Sunland Park,NM,88063,March,2025,
TEN 10 PROJECT LLC- APPOLOOSA DR RETAIL,"$42,517.57",$376.00,"$42,141.57",1925 Appoloosa Dr,Sunland Park,NM,88063,March,2025,
THE GREEN MATRIX - S HIGHWAY 28 RETAIL,"$24,717.82","$2,590.14","$22,127.68",3100 S Highway 28,Anthony,NM,88021,March,2025,
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$66,540.98","$15,049.91","$51,491.07",401 Anthony Dr Ste B,Anthony,NM,88021,March,2025,
YERBAVIVA LLC/ RETAIL MCNUTT STE D,"$5,047.26",$802.39,"$4,244.87",2327 McNutt Ste D,Sunland Park,NM,88063,March,2025,
Name,Total Sales, Adult-Use Sales , Medical Sales ,Address,City,State,Zip,Month,,
ANIMACANN INC - APPALOOSA DR RETAIL,"$72,807.74","$70,664.39","$2,143.35",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,April,2025,
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,"$14,285.52","$13,149.13","$1,136.39",1769 Victory Ln,Sunland Park,NM,88063,April,2025,
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$240,585.58","$224,854.67","$15,730.91",308 McCombs Rd Spc 2,Chaparral,NM,88081,April,2025,
BESOS LLC/ RETAIL FUTURITY DR,"$65,749.14","$64,098.67","$1,650.47",1805 Futurity Dr,Sunland Park,NM,88603,April,2025,
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$678,719.16","$635,618.11","$43,101.05",1500 Appaloosa St Suite B,Sunland Park,NM,88063,April,2025,
CARDIEL BOTANICA LTD CO - MCNUTT RD RETAIL,$844.99,$844.99,,1685 McNutt,Sunland Park,NM,88063,April,2025,
CARDIEL BOTANICA LTD CO - PALOMAS PL RETAIL,$395.95,$395.95,,100 Palomas Pl Ste B-2,Sunland Park,NM,88063,April,2025,
"CHADCOR HOLDINGS NM, LLC","$1,202,158.98","$1,157,073.45","$45,085.53",1615 Appaloosa Dr,Sunland Park,NM,88063,April,2025,
CHADCOR HOLDINGS NM- RETAIL,"$206,001.77","$188,484.84","$17,516.93", 1621 Appaloosa Dr,Sunland Park,NM,88063,April,2025,
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL,"$49,519.89","$45,841.79","$3,678.10",1290 McNutt Rd,Sunland Park,NM,88063,April,2025,
ERB HOLDINGS/ RETAIL OHARA ROAD,"$12,383.07","$11,496.39",$886.68,1400 E Ohara Road,Anthony,NM,88021,April,2025,
EVEREST APOTHECARY,"$76,608.38","$73,869.35","$2,739.03",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,April,2025,
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,138,177.78","$1,127,792.55","$10,385.23",159 Sunland Park Dr,Sunland Park,NM,88063,April,2025,
FRESHIES LLC/ RETAIL MCNUTT RD,"$49,618.56","$43,823.51","$5,795.05",5325 McNutt Rd,Santa Teresa,NM,88008,April,2025,
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$30,490.32","$29,232.06","$1,258.26",1245 Riley Way,Chaparral,NM,88081,April,2025,
GARDEN OF DREAMS CANNABIS LLC,"$28,391.60","$26,129.75","$2,261.85",5300 Mcnutt Rd,Santa Teresa,NM,88008,April,2025,
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$26,790.35","$26,575.79",$214.56,245 Derby Rd,Sunland Park,NM,88063,April,2025,
"GREEN THERAPY DISPENSARY, LLC","$385,706.64","$357,253.14","$28,453.50","460 County Line Drive, Space F",Chaparral,NM,88081,April,2025,
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$9,037.87","$7,784.52","$1,253.35",140 Schneberger Dr,Chaparral,NM,88081,April,2025,
HHNM SUNLAND PARK 1 COMPANY- MCNUTT RD. STE. D RETAIL,"$11,313.37","$10,264.33","$1,049.04",1290 McNutt Rd. Ste. D,Sunland Park,NM,88063,April,2025,
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$44,427.69","$39,220.87","$5,206.82",5620 McNutt Rd,Santa Teresa,NM,88008,April,2025,
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$61,567.88","$59,893.24","$1,674.64",1042 State Line,Chapparal,NM,88081,April,2025,
J AND J LOAN COMPANY- MCNUTT RETAIL,"$10,937.70","$10,737.70",$200.00,1144 McNutt,Sunland Park,NM,88063,April,2025,
