Licensee,Total Sales,Adult-Use Sales,Medical Sales,Address,City,State,Zip,Month,Year,Standardized DBA
NUVES LLC - RANCH ROAD RETAIL,"$27,323.53","$26,819.34",$504.19,101 Maguey Suite 4,Sunland Park,NM,88063,January,2025,Greens
RH AND MC LLC - MILLER ST RETAIL,"$27,158.31","$22,534.72","$4,623.59",103 Miller St,Anthony,NM,88021,January,2025,Milla Cero
THE GREEN MATRIX - S HIGHWAY 28 RETAIL,"$24,967.55","$21,795.05","$3,172.50",3100 S Highway 28,Anthony,NM,88021,January,2025,Green Matrix
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$24,523.39","$22,602.53","$1,920.86",1600 E OHara Rd,Anthony,NM,88021,January,2025,Kushology 101
J AND J LOAN COMPANY- MCNUTT RETAIL,"$23,531.46","$23,531.46",$0.00,1144 McNutt,Sunland Park,NM,88063,January,2025,Empire Garden
ST CANAPA LLC - MCNUTT RD RETAIL,"$23,218.02","$22,966.72",$251.30,5305 McNutt Rd,Santa Teresa,NM,88008,January,2025,St Canapa
SEVEN NINE GROW LLC - EL PASEO DR RETAIL,"$21,459.89","$18,986.83","$2,473.06",305 S County Line Rd,Chaparral,NM,88081,January,2025,UFORIA
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$17,686.09","$17,419.61",$266.48,1845 McNutt Rd,Sunland Park,NM,88063,January,2025,Sun City Grow Stand
CARDIEL BOTANICA LTD CO - MCNUTT RD RETAIL,"$17,490.83","$15,851.56","$1,639.27",1685 McNutt,Sunland Park,NM,88063,January,2025,Cardiel Cannabis
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$13,646.84","$13,532.33",$114.51,101 Angelina Blvd,Chaparral,NM,88081,January,2025,Richy Rich
ERB HOLDINGS/ RETAIL OHARA ROAD,"$12,517.94","$11,309.96","$1,207.98",1400 E Ohara Road,Anthony,NM,88021,January,2025,Kushology 101
HHNM SUNLAND PARK 1 COMPANY- MCNUTT RD. STE. D RETAIL,"$12,318.22","$11,222.17","$1,096.05",1290 McNutt Rd. Ste. D,Sunland Park,NM,88063,January,2025,High Horse Sunland
GREENGO NM - ANTHONY DR RETAIL,"$9,300.83","$7,703.81","$1,597.02",816 Anthony Dr,Anthony,NM,88021,January,2025,GreenGo
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$8,696.50","$7,452.30","$1,244.20",140 Schneberger Dr,Chaparral,NM,88081,January,2025,Groth
YERBAVIVA LLC/ RETAIL MCNUTT STE D,"$6,570.82","$6,302.54",$268.28,2327 McNutt Ste D,Sunland Park,NM,88063,January,2025,Yerba Viva
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$4,337.33","$4,274.93",$62.40,245 Derby Rd,Sunland Park,NM,88063,January,2025,Green Labs
HOUSE OF FLOWERS NM LLC - MAGEE DR RETAIL,"$3,895.04","$3,838.77",$56.27,101 Magee Dr.,Chaparral,NM,88081,January,2025,Hosue of Flowers
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$1,414.98","$1,199.43",$215.55,267 Anapra Rd,Sunland Park,NM,88063,January,2025,Sunshine Essentials
"CHADCOR HOLDINGS NM, LLC","$1,200,305.54","$1,152,292.87","$48,012.67",1615 Appaloosa Dr,Sunland Park,NM,88063,February,2025,Dark Matter
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$974,490.86","$969,002.25","$5,488.61",159 Sunland Park Dr,Sunland Park,NM,88063,February,2025,Field of Dreams
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$669,899.21","$623,813.17","$46,086.04",1500 Appaloosa St Suite B,Sunland Park,NM,88063,February,2025,Cookies
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$543,605.10","$522,791.84","$20,813.26",1051 McNutt Rd,Sunland Park,NM,88063,February,2025,Mango Cannabis
"GREEN THERAPY DISPENSARY, LLC","$323,506.08","$302,648.05","$20,858.03","460 County Line Drive, Space F",Chaparral,NM,88081,February,2025,Green Therapy
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$212,917.46","$197,902.31","$15,015.15",308 McCombs Rd Spc 2,Chaparral,NM,88081,February,2025,Astro Buds Dispensary
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$168,776.47","$166,919.33","$1,857.14",100 Arch Angel Way,Chaparral,NM,88081,February,2025,High Valley Cannabis
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$143,847.59","$136,774.59","$7,073.00",1925 Appaloosa Dr,Sunland Park,NM,88063,February,2025,Pecos Valley Production
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$122,195.38","$115,974.59","$6,220.79","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,February,2025,R Greenleaf
"NEBRO, LLC","$101,355.82","$96,559.56","$4,796.26",1999 Futurity Drive Unit A,Sunland Park,NM,88063,February,2025,Elevation 3789
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$96,530.20","$94,082.15","$2,448.05",1541 Appaloosa Unit 7,Sunland Park,NM,88063,February,2025,Old Gods
PROHIBITION 37 - MCNUTT RD RETAIL,"$91,725.75","$80,962.38","$10,763.37",871 McNutt Rd,Sunland Park,NM,88063,February,2025,Prohibition 37
"RMC NM, INC - ANTHONY RETAIL","$87,697.16","$75,285.00","$12,412.16",138 Anthony Dr,Anthony,NM,88021,February,2025,Rocky Mountain Cannabis
EVEREST APOTHECARY,"$79,095.07","$75,307.94","$3,787.13",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,February,2025,Everest
ANIMACANN INC - APPALOOSA DR RETAIL,"$77,116.91","$75,063.55","$2,053.36",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,February,2025,Urban Wellness
BESOS LLC/ RETAIL FUTURITY DR,"$65,807.98","$64,391.98","$1,416.00",1805 Futurity Dr,Sunland Park,NM,88063,February,2025,Besos
MEDD LLC - PALOMA BLANCA RETAIL,"$60,283.75","$55,745.36","$4,538.39",170 McCombs,Chaparral,NM,88081,February,2025,Pure Medd
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$54,427.02","$52,266.20","$2,160.82",1042 State Line,Chaparral,NM,88081,February,2025,House of Flowers
SCORE 420 - MCNUTT RETAIL,"$52,317.19","$48,044.95","$4,272.24",2355 McNutt Road,Sunland Park,NM,88063,February,2025,Score 420
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$50,555.76","$41,934.30","$8,621.46",1155 McNutt Road,Sunland Park,NM,88063,February,2025,Ultra Health
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$46,849.07","$40,766.01","$6,083.06",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,February,2025,Round House Reserve
HHNM CHAPARRAL 1 COMPANY- S. COUNTY LINE RETAIL,"$43,065.37","$35,862.57","$7,202.80",545 S. County Line,Chaparral,NM,88081,February,2025,High Horse
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$40,197.46","$37,531.63","$2,665.83",5620 McNutt Rd,Santa Teresa,NM,88008,February,2025,Hi Life
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL,"$36,615.93","$33,841.93","$2,774.00",1290 McNutt Rd,Sunland Park,NM,88063,February,2025,Dispensary Near Me
FLORA VERDE LLC - MAGUEY CT RETAIL,"$35,880.78","$33,843.22","$2,037.56",100 Maguey Ct,Sunland Park,NM,88063,February,2025,Nubes
OBI WAN CANNABIS LLC,"$32,243.53","$31,153.26","$1,090.27",2167 McNutt Rd suite A,Sunland Park,NM,88063,February,2025,Obi Wan Cannabis
FRESHIES LLC/ RETAIL MCNUTT RD,"$31,370.94","$26,840.59","$4,530.35",5325 McNutt Rd,Santa Teresa,NM,88008,February,2025,Public Affair
TEN 10 PROJECT LLC- APPOLOOSA DR RETAIL,"$31,112.95","$30,908.77",$204.18,1925 Appoloosa Dr,Sunland Park,NM,88063,February,2025,TenTen
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$30,653.96","$24,244.13","$6,409.83",401 Anthony Dr Ste B,Anthony,NM,88021,February,2025,Top of the Eighth
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$29,550.40","$27,860.76","$1,689.64",1600 E OHara Rd,Anthony,NM,88021,February,2025,Kushology 101
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$29,219.34","$27,614.94","$1,604.40",1245 Riley Way,Chaparral,NM,88081,February,2025,Ganjika Gardens
J AND J LOAN COMPANY- MCNUTT RETAIL,"$27,446.83","$27,446.83",$0.00,1144 McNutt,Sunland Park,NM,88063,February,2025,Empire Garden
GARDEN OF DREAMS CANNABIS LLC,"$27,087.41","$24,835.18","$2,252.23",5300 Mcnutt Rd,Santa Teresa,NM,88008,February,2025,Garden of Dreams
NUVES LLC - RANCH ROAD RETAIL,"$26,363.61","$25,703.05",$660.56,101 Maguey Suite 4,Sunland Park,NM,88063,February,2025,Greens
RH AND MC LLC - MILLER ST RETAIL,"$24,828.65","$20,828.86","$3,999.79",103 Miller St,Anthony,NM,88021,February,2025,Milla Cero
THE GREEN MATRIX - S HIGHWAY 28 RETAIL,"$23,078.66","$21,389.66","$1,689.00",3100 S Highway 28,Anthony,NM,88021,February,2025,Green Matrix
ST CANAPA LLC - MCNUTT RD RETAIL,"$21,005.40","$20,184.84",$820.56,5305 McNutt Rd,Santa Teresa,NM,88008,February,2025,St Canapa
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$19,419.85","$19,352.27",$67.58,245 Derby Rd,Sunland Park,NM,88063,February,2025,Green Labs
SEVEN NINE GROW LLC - EL PASEO DR RETAIL,"$18,383.56","$16,792.64","$1,590.92",305 S County Line Rd,Chaparral,NM,88081,February,2025,UFORIA
TOP OF THE 8TH LLC - RETAIL,"$17,334.86","$13,643.11","$3,691.75",1275 Anthony Dr Ste C7,Anthony,NM,88021,February,2025,Top of the Eighth
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$14,767.14","$14,557.45",$209.69,1845 McNutt Rd,Sunland Park,NM,88063,February,2025,Sun City Grow Stand
CARDIEL BOTANICA LTD CO - MCNUTT RD RETAIL,"$10,684.35","$9,364.39","$1,319.96",1685 McNutt,Sunland Park,NM,88063,February,2025,Cardiel Cannabis
HHNM SUNLAND PARK 1 COMPANY- MCNUTT RD. STE. D RETAIL,"$10,313.80","$9,025.96","$1,287.84",1290 McNutt Rd. Ste. D,Sunland Park,NM,88063,February,2025,High Horse Sunland
ERB HOLDINGS/ RETAIL OHARA ROAD,"$10,224.50","$9,086.79","$1,137.71",1400 E Ohara Road,Anthony,NM,88021,February,2025,Kushology 101
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$10,014.14","$9,703.34",$310.80,101 Angelina Blvd,Chaparral,NM,88081,February,2025,Richy Rich
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$9,722.91","$7,954.44","$1,768.47",140 Schneberger Dr,Chaparral,NM,88081,February,2025,Groth
GREENGO NM - ANTHONY DR RETAIL,"$9,354.94","$6,906.83","$2,448.11",816 Anthony Dr,Anthony,NM,88021,February,2025,GreenGo
YERBAVIVA LLC/ RETAIL MCNUTT STE D,"$6,029.60","$5,695.52",$334.08,2327 McNutt Ste D,Sunland Park,NM,88063,February,2025,Yerba Viva
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$1,300.05","$1,270.48",$29.57,267 Anapra Rd,Sunland Park,NM,88063,February,2025,Sunshine Essentials
ANIMACANN INC - APPALOOSA DR RETAIL,"$100,865.23","$96,850.14","$4,015.09",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,March,2025,Urban Wellness
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,"$6,802.44","$4,543.56","$2,258.88",1769 Victory Ln,Sunland Park,NM,88063,March,2025,Apogee
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$215,590.08","$203,407.77","$12,182.31",308 McCombs Rd Spc 2,Chaparral,NM,88081,March,2025,Astro Buds Dispensary
